Date,ppm
1958-03-15,314.89
1958-04-15,314.98
1958-05-15,315.06
1958-06-15,315.14
1958-07-15,315.21
1958-08-15,315.29
1958-09-15,315.35
1958-10-15,315.4
1958-11-15,315.46
1958-12-15,315.51
1959-01-15,315.57
1959-02-15,315.63
1959-03-15,315.69
1959-04-15,315.76
1959-05-15,315.84
1959-06-15,315.93
1959-07-15,316.02
1959-08-15,316.12
1959-09-15,316.21
1959-10-15,316.3
1959-11-15,316.39
1959-12-15,316.47
1960-01-15,316.56
1960-02-15,316.64
1960-03-15,316.72
1960-04-15,316.8
1960-05-15,316.87
1960-06-15,316.93
1960-07-15,316.98
1960-08-15,317.01
1960-09-15,317.04
1960-10-15,317.07
1960-11-15,317.1
1960-12-15,317.14
1961-01-15,317.19
1961-02-15,317.26
1961-03-15,317.32
1961-04-15,317.41
1961-05-15,317.49
1961-06-15,317.59
1961-07-15,317.67
1961-08-15,317.76
1961-09-15,317.84
1961-10-15,317.92
1961-11-15,317.99
1961-12-15,318.06
1962-01-15,318.12
1962-02-15,318.19
1962-03-15,318.25
1962-04-15,318.32
1962-05-15,318.39
1962-06-15,318.45
1962-07-15,318.5
1962-08-15,318.55
1962-09-15,318.6
1962-10-15,318.64
1962-11-15,318.68
1962-12-15,318.71
1963-01-15,318.76
1963-02-15,318.8
1963-03-15,318.85
1963-04-15,318.9
1963-05-15,318.96
1963-06-15,319.01
1963-07-15,319.05
1963-08-15,319.09
1963-09-15,319.13
1963-10-15,319.18
1963-11-15,319.22
1963-12-15,319.27
1964-01-15,319.31
1964-02-15,319.36
1964-03-15,319.4
1964-04-15,319.45
1964-05-15,319.49
1964-06-15,319.52
1964-07-15,319.55
1964-08-15,319.58
1964-09-15,319.6
1964-10-15,319.62
1964-11-15,319.63
1964-12-15,319.65
1965-01-15,319.68
1965-02-15,319.71
1965-03-15,319.76
1965-04-15,319.82
1965-05-15,319.9
1965-06-15,319.99
1965-07-15,320.09
1965-08-15,320.2
1965-09-15,320.32
1965-10-15,320.43
1965-11-15,320.55
1965-12-15,320.66
1966-01-15,320.78
1966-02-15,320.91
1966-03-15,321.01
1966-04-15,321.12
1966-05-15,321.23
1966-06-15,321.32
1966-07-15,321.41
1966-08-15,321.48
1966-09-15,321.55
1966-10-15,321.62
1966-11-15,321.68
1966-12-15,321.74
1967-01-15,321.8
1967-02-15,321.85
1967-03-15,321.9
1967-04-15,321.95
1967-05-15,322.01
1967-06-15,322.07
1967-07-15,322.13
1967-08-15,322.2
1967-09-15,322.27
1967-10-15,322.34
1967-11-15,322.42
1967-12-15,322.49
1968-01-15,322.57
1968-02-15,322.65
1968-03-15,322.73
1968-04-15,322.82
1968-05-15,322.92
1968-06-15,323.02
1968-07-15,323.13
1968-08-15,323.25
1968-09-15,323.36
1968-10-15,323.48
1968-11-15,323.61
