Entity,Date,reported_disasters
All natural disasters,1900,5
All natural disasters,1901,2
All natural disasters,1902,9
All natural disasters,1903,8
All natural disasters,1904,2
All natural disasters,1905,4
All natural disasters,1906,17
All natural disasters,1907,5
All natural disasters,1908,4
All natural disasters,1909,11
All natural disasters,1910,15
All natural disasters,1911,5
All natural disasters,1912,7
All natural disasters,1913,5
All natural disasters,1914,6
All natural disasters,1915,7
All natural disasters,1916,2
All natural disasters,1917,6
All natural disasters,1918,7
All natural disasters,1919,4
All natural disasters,1920,7
All natural disasters,1921,2
All natural disasters,1922,6
All natural disasters,1923,12
All natural disasters,1924,4
All natural disasters,1925,6
All natural disasters,1926,15
All natural disasters,1927,12
All natural disasters,1928,17
All natural disasters,1929,6
All natural disasters,1930,14
All natural disasters,1931,12
All natural disasters,1932,8
All natural disasters,1933,10
All natural disasters,1934,9
All natural disasters,1935,11
All natural disasters,1936,11
All natural disasters,1937,7
All natural disasters,1938,7
All natural disasters,1939,11
All natural disasters,1940,17
All natural disasters,1941,5
All natural disasters,1942,9
All natural disasters,1943,12
All natural disasters,1944,12
All natural disasters,1945,12
All natural disasters,1946,15
All natural disasters,1947,12
All natural disasters,1948,23
All natural disasters,1949,20
All natural disasters,1950,23
All natural disasters,1951,27
All natural disasters,1952,24
All natural disasters,1953,34
All natural disasters,1954,33
All natural disasters,1955,30
All natural disasters,1956,36
All natural disasters,1957,29
All natural disasters,1958,23
All natural disasters,1959,33
All natural disasters,1960,40
All natural disasters,1961,28
All natural disasters,1962,28
All natural disasters,1963,41
All natural disasters,1964,60
All natural disasters,1965,61
All natural disasters,1966,80
All natural disasters,1967,70
All natural disasters,1968,77
All natural disasters,1969,62
All natural disasters,1970,77
All natural disasters,1971,61
All natural disasters,1972,63
All natural disasters,1973,60
All natural disasters,1974,68
All natural disasters,1975,63
All natural disasters,1976,91
All natural disasters,1977,121
All natural disasters,1978,115
All natural disasters,1979,120
All natural disasters,1980,133
All natural disasters,1981,138
All natural disasters,1982,153
All natural disasters,1983,205
All natural disasters,1984,146
All natural disasters,1985,165
All natural disasters,1986,150
All natural disasters,1987,191
All natural disasters,1988,200
All natural disasters,1989,172
All natural disasters,1990,278
All natural disasters,1991,228
All natural disasters,1992,204
All natural disasters,1993,260
All natural disasters,1994,246
All natural disasters,1995,248
All natural disasters,1996,227
All natural disasters,1997,261
All natural disasters,1998,288
All natural disasters,1999,337
All natural disasters,2000,411
All natural disasters,2001,376
All natural disasters,2002,421
All natural disasters,2003,360
All natural disasters,2004,350
All natural disasters,2005,432
All natural disasters,2006,401
All natural disasters,2007,414
All natural disasters,2008,352
All natural disasters,2009,344
All natural disasters,2010,393
All natural disasters,2011,334
All natural disasters,2012,346
All natural disasters,2013,332
All natural disasters,2014,320
All natural disasters,2015,380
All natural disasters,2016,325
All natural disasters,2017,276
All natural disasters,2018,282
Earthquake & Landslide,1901,2
Earthquake & Landslide,1902,3
Earthquake & Landslide,1903,1
Earthquake & Landslide,1904,1
Earthquake & Landslide,1905,2
Earthquake & Landslide,1906,10
Earthquake & Landslide,1907,5
Earthquake & Landslide,1908,3
Earthquake & Landslide,1909,4
Earthquake & Landslide,1910,3
Earthquake & Landslide,1912,2
Earthquake & Landslide,1913,4
Earthquake & Landslide,1914,4
Earthquake & Landslide,1915,3
Earthquake & Landslide,1916,1
Earthquake & Landslide,1917,3
Earthquake & Landslide,1918,5
Earthquake & Landslide,1920,3
Earthquake & Landslide,1921,1
Earthquake & Landslide,1922,3
Earthquake & Landslide,1923,6
Earthquake & Landslide,1924,2
Earthquake & Landslide,1925,2
Earthquake & Landslide,1926,3
Earthquake & Landslide,1927,6
Earthquake & Landslide,1928,7
Earthquake & Landslide,1929,2
Earthquake & Landslide,1930,8
Earthquake & Landslide,1931,5
Earthquake & Landslide,1932,3
Earthquake & Landslide,1933,4
Earthquake & Landslide,1934,5
Earthquake & Landslide,1935,3
Earthquake & Landslide,1936,3
Earthquake & Landslide,1938,3
Earthquake & Landslide,1939,6
Earthquake & Landslide,1940,4
Earthquake & Landslide,1941,3
Earthquake & Landslide,1942,5
Earthquake & Landslide,1943,5
Earthquake & Landslide,1944,4
Earthquake & Landslide,1945,4
Earthquake & Landslide,1946,8
Earthquake & Landslide,1947,2
Earthquake & Landslide,1948,7
Earthquake & Landslide,1949,7
Earthquake & Landslide,1950,5
Earthquake & Landslide,1951,4
Earthquake & Landslide,1952,9
Earthquake & Landslide,1953,7
Earthquake & Landslide,1954,13
Earthquake & Landslide,1955,6
Earthquake & Landslide,1956,11
Earthquake & Landslide,1957,8
Earthquake & Landslide,1958,5
Earthquake & Landslide,1959,4
Earthquake & Landslide,1960,11
Earthquake & Landslide,1961,4
Earthquake & Landslide,1962,5
Earthquake & Landslide,1963,5
Earthquake & Landslide,1964,8
Earthquake & Landslide,1965,12
Earthquake & Landslide,1966,15
Earthquake & Landslide,1967,12
Earthquake & Landslide,1968,18
Earthquake & Landslide,1969,9
Earthquake & Landslide,1970,16
Earthquake & Landslide,1971,10
Earthquake & Landslide,1972,10
Earthquake & Landslide,1973,9
Earthquake & Landslide,1974,14
Earthquake & Landslide,1975,9
Earthquake & Landslide,1976,26
Earthquake & Landslide,1977,17
Earthquake & Landslide,1978,11
Earthquake & Landslide,1979,32
Earthquake & Landslide,1980,28
Earthquake & Landslide,1981,25
Earthquake & Landslide,1982,29
Earthquake & Landslide,1983,40
Earthquake & Landslide,1984,19
Earthquake & Landslide,1985,28
Earthquake & Landslide,1986,30
Earthquake & Landslide,1987,32
Earthquake & Landslide,1988,33
Earthquake & Landslide,1989,34
Earthquake & Landslide,1990,47
Earthquake & Landslide,1991,38
Earthquake & Landslide,1992,32
Earthquake & Landslide,1993,42
Earthquake & Landslide,1994,36
Earthquake & Landslide,1995,42
Earthquake & Landslide,1996,37
Earthquake & Landslide,1997,36
Earthquake & Landslide,1998,52
Earthquake & Landslide,1999,51
Earthquake & Landslide,2000,58
Earthquake & Landslide,2001,49
Earthquake & Landslide,2002,57
Earthquake & Landslide,2003,61
Earthquake & Landslide,2004,57
Earthquake & Landslide,2005,38
Earthquake & Landslide,2006,44
Earthquake & Landslide,2007,31
Earthquake & Landslide,2008,35
Earthquake & Landslide,2009,51
Earthquake & Landslide,2010,56
Earthquake & Landslide,2011,47
Earthquake & Landslide,2012,40
Earthquake & Landslide,2013,40
Earthquake & Landslide,2014,41
Earthquake & Landslide,2015,43
Earthquake & Landslide,2016,43
Earthquake & Landslide,2017,44
Earthquake & Landslide,2018,33
Extreme weather,1900,1
Extreme weather,1902,1
Extreme weather,1903,2
Extreme weather,1904,1
Extreme weather,1905,1
Extreme weather,1906,3
Extreme weather,1909,5
Extreme weather,1910,1
Extreme weather,1911,2
Extreme weather,1912,5
Extreme weather,1913,1
Extreme weather,1914,1
Extreme weather,1915,2
Extreme weather,1916,1
Extreme weather,1917,2
Extreme weather,1918,1
Extreme weather,1919,2
Extreme weather,1920,1
Extreme weather,1922,2
Extreme weather,1923,6
Extreme weather,1924,2
Extreme weather,1925,3
Extreme weather,1926,7
Extreme weather,1927,4
Extreme weather,1928,7
Extreme weather,1929,2
Extreme weather,1930,4
Extreme weather,1931,4
Extreme weather,1932,5
Extreme weather,1933,3
Extreme weather,1934,4
Extreme weather,1935,7
Extreme weather,1936,7
Extreme weather,1937,3
Extreme weather,1938,2
Extreme weather,1939,2
Extreme weather,1940,3
